id	camera_l	depth	semantic	qw	qx	qy	qz	tx	ty	tz
-1	RuralAust3_2/images/000000.png	RuralAust3_2/depth/000000.png	RuralAust3_2/seg_id/000000.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
0	RuralAust3_2/images/000001.png	RuralAust3_2/depth/000001.png	RuralAust3_2/seg_id/000001.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
1	RuralAust3_2/images/000002.png	RuralAust3_2/depth/000002.png	RuralAust3_2/seg_id/000002.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
2	RuralAust3_2/images/000003.png	RuralAust3_2/depth/000003.png	RuralAust3_2/seg_id/000003.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
3	RuralAust3_2/images/000004.png	RuralAust3_2/depth/000004.png	RuralAust3_2/seg_id/000004.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
4	RuralAust3_2/images/000005.png	RuralAust3_2/depth/000005.png	RuralAust3_2/seg_id/000005.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
5	RuralAust3_2/images/000006.png	RuralAust3_2/depth/000006.png	RuralAust3_2/seg_id/000006.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
6	RuralAust3_2/images/000007.png	RuralAust3_2/depth/000007.png	RuralAust3_2/seg_id/000007.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
7	RuralAust3_2/images/000008.png	RuralAust3_2/depth/000008.png	RuralAust3_2/seg_id/000008.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
8	RuralAust3_2/images/000009.png	RuralAust3_2/depth/000009.png	RuralAust3_2/seg_id/000009.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
9	RuralAust3_2/images/000010.png	RuralAust3_2/depth/000010.png	RuralAust3_2/seg_id/000010.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
10	RuralAust3_2/images/000011.png	RuralAust3_2/depth/000011.png	RuralAust3_2/seg_id/000011.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
11	RuralAust3_2/images/000012.png	RuralAust3_2/depth/000012.png	RuralAust3_2/seg_id/000012.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
12	RuralAust3_2/images/000013.png	RuralAust3_2/depth/000013.png	RuralAust3_2/seg_id/000013.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
13	RuralAust3_2/images/000014.png	RuralAust3_2/depth/000014.png	RuralAust3_2/seg_id/000014.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
14	RuralAust3_2/images/000015.png	RuralAust3_2/depth/000015.png	RuralAust3_2/seg_id/000015.png	0.999391	-0.000028	-0.000000	-0.034897	0.000100	0.000100	0.000100
15	RuralAust3_2/images/000016.png	RuralAust3_2/depth/000016.png	RuralAust3_2/seg_id/000016.png	0.999391	-0.000028	-0.000000	-0.034896	0.000100	0.000100	0.000100
16	RuralAust3_2/images/000017.png	RuralAust3_2/depth/000017.png	RuralAust3_2/seg_id/000017.png	0.999391	-0.000028	-0.000000	-0.034898	0.000100	0.000100	0.000100
17	RuralAust3_2/images/000018.png	RuralAust3_2/depth/000018.png	RuralAust3_2/seg_id/000018.png	0.999848	-0.000014	-0.000000	-0.017449	0.000100	0.000100	0.000100
18	RuralAust3_2/images/000019.png	RuralAust3_2/depth/000019.png	RuralAust3_2/seg_id/000019.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
19	RuralAust3_2/images/000020.png	RuralAust3_2/depth/000020.png	RuralAust3_2/seg_id/000020.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
20	RuralAust3_2/images/000021.png	RuralAust3_2/depth/000021.png	RuralAust3_2/seg_id/000021.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
21	RuralAust3_2/images/000022.png	RuralAust3_2/depth/000022.png	RuralAust3_2/seg_id/000022.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
22	RuralAust3_2/images/000023.png	RuralAust3_2/depth/000023.png	RuralAust3_2/seg_id/000023.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
23	RuralAust3_2/images/000024.png	RuralAust3_2/depth/000024.png	RuralAust3_2/seg_id/000024.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
24	RuralAust3_2/images/000025.png	RuralAust3_2/depth/000025.png	RuralAust3_2/seg_id/000025.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
25	RuralAust3_2/images/000026.png	RuralAust3_2/depth/000026.png	RuralAust3_2/seg_id/000026.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
