id	camera_l	depth	semantic	qw	qx	qy	qz	tx	ty	tz
-1	Africa_3/images/000000.png	Africa_3/depth/000000.png	Africa_3/seg_id/000000.png	1.000000	0.000000	0.000000	0.000000	0.000100	0.000100	0.000100
0	Africa_3/images/000003.png	Africa_3/depth/000003.png	Africa_3/seg_id/000003.png	0.999657	-0.000021	-0.000000	-0.026179	-9.363293	0.344803	0.007456
1	Africa_3/images/000006.png	Africa_3/depth/000006.png	Africa_3/seg_id/000006.png	1.000000	-0.000000	-0.000000	-0.000001	-9.301037	-0.007375	0.007407
2	Africa_3/images/000009.png	Africa_3/depth/000009.png	Africa_3/seg_id/000009.png	1.000000	0.000000	0.000000	0.000000	-9.282037	-0.007420	0.007392
3	Africa_3/images/000012.png	Africa_3/depth/000012.png	Africa_3/seg_id/000012.png	1.000000	0.000000	0.000000	0.000000	-9.185037	-0.007247	0.007314
4	Africa_3/images/000015.png	Africa_3/depth/000015.png	Africa_3/seg_id/000015.png	1.000000	0.000000	0.000000	0.000000	-9.061036	-0.007270	0.007216
5	Africa_3/images/000018.png	Africa_3/depth/000018.png	Africa_3/seg_id/000018.png	1.000000	0.000000	0.000000	0.000000	-9.038036	-0.007181	0.007197
6	Africa_3/images/000021.png	Africa_3/depth/000021.png	Africa_3/seg_id/000021.png	0.999048	-0.000035	-0.000000	-0.043618	-8.963482	0.368508	0.007138
7	Africa_3/images/000024.png	Africa_3/depth/000024.png	Africa_3/seg_id/000024.png	0.996917	-0.000062	-0.000000	-0.078463	-8.924929	0.900299	0.007107
8	Africa_3/images/000027.png	Africa_3/depth/000027.png	Africa_3/seg_id/000027.png	0.999657	-0.000021	-0.000000	-0.026184	-8.968635	0.109121	0.007142
9	Africa_3/images/000030.png	Africa_3/depth/000030.png	Africa_3/seg_id/000030.png	1.000000	-0.000000	-0.000000	-0.000001	-9.028702	-0.007026	0.007190
10	Africa_3/images/000033.png	Africa_3/depth/000033.png	Africa_3/seg_id/000033.png	0.999657	-0.000021	-0.000000	-0.026176	-8.948467	0.173189	0.007126
11	Africa_3/images/000036.png	Africa_3/depth/000036.png	Africa_3/seg_id/000036.png	1.000000	0.000000	0.000000	0.000000	-8.861819	-0.006928	0.007057
12	Africa_3/images/000039.png	Africa_3/depth/000039.png	Africa_3/seg_id/000039.png	1.000000	0.000000	0.000000	0.000000	-8.844662	-0.007215	0.007043
13	Africa_3/images/000042.png	Africa_3/depth/000042.png	Africa_3/seg_id/000042.png	1.000000	0.000000	0.000000	0.000000	-8.855428	-0.006918	0.007052
14	Africa_3/images/000045.png	Africa_3/depth/000045.png	Africa_3/seg_id/000045.png	1.000000	0.000000	0.000000	0.000000	-11.754261	-0.009354	0.009360
15	Africa_3/images/000048.png	Africa_3/depth/000048.png	Africa_3/seg_id/000048.png	1.000000	0.000000	0.000000	0.000000	-14.654101	-0.011948	0.011669
16	Africa_3/images/000051.png	Africa_3/depth/000051.png	Africa_3/seg_id/000051.png	1.000000	0.000000	0.000000	0.000000	-8.699935	-0.006656	0.006928
17	Africa_3/images/000054.png	Africa_3/depth/000054.png	Africa_3/seg_id/000054.png	1.000000	0.000000	0.000000	0.000000	-8.694413	-0.007180	0.006924
18	Africa_3/images/000057.png	Africa_3/depth/000057.png	Africa_3/seg_id/000057.png	1.000000	0.000000	0.000000	0.000000	-8.498492	-0.006732	0.006768
