id	camera_l	semantic	depth	qw	qx	qy	qz	tx	ty	tz
0	JPEGImages/000001_001.jpg	SegmentationClass/000001_001.png	Depth/depth_0.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	JPEGImages/000001_002.jpg	SegmentationClass/000001_002.png	Depth/depth_1.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	JPEGImages/000001_003.jpg	SegmentationClass/000001_003.png	Depth/depth_2.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	JPEGImages/000001_004.jpg	SegmentationClass/000001_004.png	Depth/depth_3.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	JPEGImages/000001_005.jpg	SegmentationClass/000001_005.png	Depth/depth_4.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	JPEGImages/000001_006.jpg	SegmentationClass/000001_006.png	Depth/depth_5.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	JPEGImages/000001_007.jpg	SegmentationClass/000001_007.png	Depth/depth_6.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	JPEGImages/000001_008.jpg	SegmentationClass/000001_008.png	Depth/depth_7.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	JPEGImages/000001_009.jpg	SegmentationClass/000001_009.png	Depth/depth_8.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	JPEGImages/000001_010.jpg	SegmentationClass/000001_010.png	Depth/depth_9.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	JPEGImages/000001_011.jpg	SegmentationClass/000001_011.png	Depth/depth_10.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11	JPEGImages/000001_012.jpg	SegmentationClass/000001_012.png	Depth/depth_11.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	JPEGImages/000001_013.jpg	SegmentationClass/000001_013.png	Depth/depth_12.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	JPEGImages/000001_014.jpg	SegmentationClass/000001_014.png	Depth/depth_13.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	JPEGImages/000001_015.jpg	SegmentationClass/000001_015.png	Depth/depth_14.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	JPEGImages/000001_016.jpg	SegmentationClass/000001_016.png	Depth/depth_15.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	JPEGImages/000001_017.jpg	SegmentationClass/000001_017.png	Depth/depth_16.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	JPEGImages/000001_018.jpg	SegmentationClass/000001_018.png	Depth/depth_17.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	JPEGImages/000001_019.jpg	SegmentationClass/000001_019.png	Depth/depth_18.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	JPEGImages/000001_020.jpg	SegmentationClass/000001_020.png	Depth/depth_19.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	JPEGImages/000001_021.jpg	SegmentationClass/000001_021.png	Depth/depth_20.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21	JPEGImages/000001_022.jpg	SegmentationClass/000001_022.png	Depth/depth_21.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22	JPEGImages/000001_023.jpg	SegmentationClass/000001_023.png	Depth/depth_22.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
23	JPEGImages/000001_024.jpg	SegmentationClass/000001_024.png	Depth/depth_23.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
24	JPEGImages/000001_025.jpg	SegmentationClass/000001_025.png	Depth/depth_24.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	JPEGImages/000001_026.jpg	SegmentationClass/000001_026.png	Depth/depth_25.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	JPEGImages/000001_027.jpg	SegmentationClass/000001_027.png	Depth/depth_26.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	JPEGImages/000001_028.jpg	SegmentationClass/000001_028.png	Depth/depth_27.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	JPEGImages/000001_029.jpg	SegmentationClass/000001_029.png	Depth/depth_28.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	JPEGImages/000001_030.jpg	SegmentationClass/000001_030.png	Depth/depth_29.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	JPEGImages/000001_031.jpg	SegmentationClass/000001_031.png	Depth/depth_30.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
31	JPEGImages/000001_032.jpg	SegmentationClass/000001_032.png	Depth/depth_31.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
32	JPEGImages/000001_033.jpg	SegmentationClass/000001_033.png	Depth/depth_32.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33	JPEGImages/000001_034.jpg	SegmentationClass/000001_034.png	Depth/depth_33.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
34	JPEGImages/000001_035.jpg	SegmentationClass/000001_035.png	Depth/depth_34.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35	JPEGImages/000001_036.jpg	SegmentationClass/000001_036.png	Depth/depth_35.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
36	JPEGImages/000001_037.jpg	SegmentationClass/000001_037.png	Depth/depth_36.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
37	JPEGImages/000001_038.jpg	SegmentationClass/000001_038.png	Depth/depth_37.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38	JPEGImages/000001_039.jpg	SegmentationClass/000001_039.png	Depth/depth_38.npy	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
